Token	Class
ἀδικέω	Verb
κρίνω	Verb
ἐκεῖ	Adverb
Καῖσαρ	Noun-M
κεφαλή	Noun-F
κεῖμαι	Verb
νικάω	Verb
βασιλεία	Noun-F
παραδίδωμι	Verb
τιμή	Noun-F
ἱερόν	Noun-N
οἰκία	Noun-F
εἶμι	Verb
πρίν	Adverb
ἱππεύς	Noun-M
κρατύς	Adjective
θυμός	Noun-M
πού	Adverb
ἀποκτείνω	Verb
ἄριστος	Adjective
ἀφαιρέω	Verb
ὅπλον	Noun-N
ζητέω	Verb
ἥλιος	Noun-M
τρίτος	Adjective
διαφέρω	Verb
πάθος	Noun-N
πίπτω	Verb
πολλάκις	Adverb
Αἴγυπτος	Noun-F
τελευτάω	Verb
πυνθάνομαι	Verb
πολίτης	Noun-M
κόσμος	Noun-M
ἱερός	Adjective
ἑκάτερος	Adjective
ἀριθμός	Noun-M
πιστεύω	Verb
ἡδύς	Adjective
Πέρσης	Noun-M
πρέσβυς	Adjective
ἡδονή	Noun-F
φοβέω	Verb
ἀναγκαῖος	Adjective
πνεῦμα	Noun-N
πλήν	Preposition
ξένος	Noun-M
εἴτε	Adverb
αὖθις	Adverb
δυνατός	Adjective
ζῷον	Noun-N
ῥᾴδιος	Adjective
θνήσκω	Verb
λαλέω	Verb
βουλή	Noun-F
βάρβαρος	Adjective
ἕ	Pronoun
εἰσέρχομαι	Verb
Ἰουδαῖος	Noun-M
θαυμάζω	Verb
προσήκω	Verb
τέχνη	Noun-F
θεῖος	Adjective
ἱκανός	Adjective
ὀφθαλμός	Noun-M
τέκνον	Noun-N
στρατιώτης	Noun-M
διαφθείρω	Verb
ἀποστέλλω	Verb
ἐλπίς	Noun-F
εἶδος	Noun-N
σκοπέω	Verb
αἴτιος	Adjective
ὁμολογέω	Verb
οὐσία	Noun-F
σύμμαχος	Adjective
ἔνθα	Adverb
ἢν	Conjunction
μακρός	Adjective
Ἰησοῦς	Noun-M
ἀνίστημι	Verb
βάλλω	Verb
βελτίων	Adjective
πρᾶξις	Noun-F
φανερός	Adjective
δηλόω	Verb
χωρίον	Noun-N
διό	Conjunction
μέγεθος	Noun-N
κομίζω	Verb
μιμνήσκω	Verb
ἡγεμών	Noun-M
ἱερεύς	Noun-M
προερέω	Verb
ὀνομάζω	Verb
τιμάω	Verb
γοῦν	Particle
κατέχω	Verb
ἄρχων	Noun-M
καίτοι	Particle
χαλεπός	Adjective
πατρίς	Noun-F
κἂν	Particle
πολεμέω	Verb
ἀγών	Noun-M
Ἀχαιός	Noun-M
πειράω	Verb
δοῦλος	Noun-M
πολιτεία	Noun-F
τύχη	Noun-F
καταλαμβάνω	Verb
χαίρω	Verb
δείδω	Verb
ἐσθίω	Verb
διδάσκω	Verb
κίνδυνος	Noun-M
στόμα	Noun-N
δῆλος	Adjective
σοφός	Adjective
παρακαλέω	Verb
αἷμα	Noun-N
ἐάω	Verb
ἐξέρχομαι	Verb
καρδία	Noun-F
εἰρήνη	Noun-F
ἅγιος	Adjective
τέσσαρες	Adjective
πονηρός	Adjective
ἀποκρίνω	Verb
παύω	Verb
οἰκέω	Verb
ἔξω	Adverb
προστίθημι	Verb
ἀφίστημι	Verb
ὅμως	Conjunction
ἀλήθεια	Noun-F
φύω	Verb
στρατιά	Noun-F
τάσσω	Verb
πίνω	Verb
νήσος	Noun-F
οὐκοῦν	Adverb
βουλεύω	Verb
λίθος	Noun-M
στάδιον	Noun-N
ἀμφί	Preposition
ἐπαινέω	Verb
ὁρμάω	Verb
αἴρω	Verb
ὀργή	Noun-F
Φίλιππος	Noun-M
παραλαμβάνω	Verb
κύκλος	Noun-M
μάχομαι	Verb
ναός	Noun-M
συνάγω	Verb
πίστις	Noun-F
ἥσσων	Adjective
λανθάνω	Verb
ἐργάζω	Verb
φόβος	Noun-M
ἡμέτερος	Adjective
παρασκευάζω	Verb
οὐκέτι	Adverb
τρέπω	Verb
Μωυσῆς	Noun-M
στρατόπεδον	Noun-N
συμφέρω	Verb
οἶνος	Noun-N
κτάομαι	Verb
ποῖος	Adjective
Σωκράτης	Noun-M
δέκα	Adjective
ἀναβαίνω	Verb
ταυτός	Pronoun
ἀτάρ	Particle
βασιλεύω	Verb
παραγίγνομαι	Verb
σφόδρα	Adverb
ὑπολαμβάνω	Verb
ἀναγκάζω	Verb
προστάσσω	Verb
μιν	Pronoun
θύω	Verb
ἕπω	Verb
Κῦρος	Noun-M
σημεῖον	Noun-N
δεξιός	Adjective
τρέφω	Verb
κινέω	Verb
κατασκευάζω	Verb
ὥρα	Noun-F
πέντε	Adjective
τάξις	Noun-F
Ἑλλάς	Noun-F
ἀποδείκνυμι	Verb
χρύσεος	Adjective
δράω	Verb
συνίστημι	Verb
τροφή	Noun-F
