Token	Class
συννοέω	Verb
εἰσλάω	Verb
νάπη	Noun-F
Ἀβοριγῖνες	Noun-M
Λευκανός	Noun-M
ἐρετμόν	Noun-N
δωροδοκία	Noun-F
λῃστεία	Noun-F
ἀρχιτέκτων	Noun-M
σιμός	Noun-M
σηκός	Noun-M
κατάρατος	Adjective
Γάδειρα	Noun-N
πελώριος	Adjective
ἀποτείνω	Verb
Οἰνόμαος	Noun-M
παιδοποιέω	Verb
Ἀπελλῆς	Noun-M
φενακίζω	Verb
ἀνέδην	Adverb
λίνεος	Adjective
θάμβος	Noun-N
ἀπόλεμος	Adjective
ὀλίγωρος	Adverb
ὁμομήτριος	Adjective
Παμφυλία	Noun-F
ἐπήκοος	Adjective
συμπορεύομαι	Verb
πυλωρός	Noun-M
ἀλλοτριόω	Verb
ἀτείχιστος	Adjective
ἐπαείδω	Verb
ἀκώλυτος	Adjective
θαμά	Adverb
προσφύω	Verb
ζωστήρ	Noun-M
ἐναλλάσσω	Verb
Αἴολος	Noun-M
κενεών	Noun-M
ἀλύσκω	Verb
Ἐρέτρια	Noun-F
Γνάθαινα	Noun-F
Ἀλυάττης	Noun-M
ἰατρεύω	Verb
δεσποτικός	Adjective
ἀναρρήγνυμι	Verb
Αμαν	Noun-M
συμπολεμέω	Verb
θαλλός	Noun-M
παίδευσις	Noun-F
ἐπιχθόνιος	Adjective
καθαρεύω	Verb
ἡρῷον	Noun-N
δράσσομαι	Verb
εὐειδής	Adjective
πέρδιξ	Noun-M
Δανάη	Noun-F
συνθέω	Verb
ἄφθιτος	Adjective
βέλεμνον	Noun-N
οἶνοψ	Noun-M
Νηρεύς	Noun-M
Αμαληκ	Noun-M
Ἄτλας	Noun-M
μετουσία	Noun-F
τίτθη	Noun-F
γέρανος	Noun-M
κύπτω	Verb
σκιρτάω	Verb
Ἑκαταῖος	Noun-M
ἄσχετος	Adjective
Ἰνώ	Noun-F
διήγημα	Noun-N
ἀναρχία	Noun-F
ἀγυιά	Noun-F
ἀσχολέω	Verb
παρθενία	Noun-F
ἀπεναντίον	Noun-F
διασύρω	Verb
ἐκπνέω	Verb
ἀδιαίρετος	Adjective
χρεώ	Noun-F
Χειρίσοφος	Noun-M
κατάβασις	Noun-F
οἰκονομικός	Adjective
αἰζηός	Adjective
Πύλαι	Noun-F
Γερμανός	Adjective
ὄψ	Noun-F
ἔνοπλος	Adjective
Μυκήνη	Noun-F
καθικνέομαι	Verb
θᾶκος	Noun-M
ἀντιτείνω	Verb
Μασσαγέται	Noun-M
Ἀνακρέων	Noun-M
νεικέω	Verb
συνηγορέω	Verb
Οὐεργίνιος	Noun-M
δηλαδή	Adverb
εὐφυία	Noun-F
κατακολουθέω	Verb
Ἰσχόμαχος	Noun-M
κηρίον	Noun-N
μυκάομαι	Verb
μετακαλέω	Verb
αἱμάσσω	Verb
ἀρχός	Noun-M
βάτος	Noun-M
βόστρυχος	Noun-M
Ἀρτάβανος	Noun-M
ἀγήραος	Adjective
ὑπόδειγμα	Noun-N
διαβοάω	Verb
πάσσω	Verb
εὔμορφος	Adjective
μυάω	Verb
Ασα	Noun-M
ἀποτρέχω	Verb
κατασείω	Verb
διαρκής	Adjective
γλυκύτης	Noun-F
γραφικός	Adjective
ἀμαυρός	Adjective
διαρρίπτω	Verb
ἀλογία	Noun-F
θριαμβεύω	Verb
Φιλοκτήτης	Noun-M
συζάω	Verb
τάριχος	Noun-M
ἐγκαλύπτω	Verb
Δώριος	Noun-M
ἐποίχομαι	Verb
δρασμός	Noun-M
κυνέη	Noun-F
βῶλος	Noun-F
Ὑρκάνιος	Noun-M
Νέμεα	Noun-F
τυφλόω	Verb
κολώνη	Noun-F
Λυγκεύς	Noun-M
ἀπόβασις	Noun-F
ἄλευρον	Noun-N
πλατύνω	Verb
ἐπιμαρτυρέω	Verb
λιτός	Adjective
κυνηγέσιον	Noun-N
συμπάθεια	Noun-F
μεριμνάω	Verb
ἄχαρις	Adjective
ἄστατος	Adjective
ἄπαυστος	Adjective
ῥόπαλον	Noun-N
ὡδί	Adverb
μεγαλοπρέπεια	Noun-F
Αἴτνη	Noun-F
Ἀλεξάνδρα	Noun-F
λεπρός	Adjective
ἐκδιδάσκω	Verb
θησαυρίζω	Verb
ἐξέρομαι	Verb
δελεάζω	Verb
Ἑστία	Noun-F
συνδιατρίβω	Verb
γνώρισμα	Noun-N
τρέω	Verb
Διόδωρος	Noun-M
βλέμμα	Noun-N
μολπή	Noun-F
ἀπομάχομαι	Verb
Δίδυμος	Noun-M
Ἀμφιτρύων	Noun-M
θεοσεβής	Adjective
δοκιμασία	Noun-F
καταβολή	Noun-F
ἀπαρνέομαι	Verb
Ἀσκάλων	Noun-F
μύσος	Noun-N
Ἰλλυρίς	Noun-F
Ἄβελ	Noun-M
ἀστυγείτων	Adjective
δωροδοκέω	Verb
Ἀρκεσίλαος	Noun-M
καταγωγή	Noun-F
Εἰλείθυια	Noun-F
ἐκφορά	Noun-F
ἄγγος	Noun-N
κατηγορικός	Adjective
ἱκετεία	Noun-F
Ὀκτάουιος	Noun-M
Ἄζωτος	Noun-F
διατρέφω	Verb
πετρώδης	Adjective
θηλάζω	Verb
γραφεύς	Noun-M
ἀνακρούω	Verb
Φαληρεύς	Noun-M
ἀτερπής	Adjective
ἐγγύθι	Adverb
ἡμιόλιος	Adjective
ἐλεήμων	Adjective
μόναρχος	Noun-M
Πετρώνιος	Noun-M
βασκαίνω	Verb
ἰσόρροπος	Adjective
ἐπερείδω	Verb
λυπρός	Adjective
Μητρόδωρος	Noun-M
παγκράτιον	Noun-N
μάρπτω	Verb
ὑπνόω	Verb
τύλλος	Noun-M
παρακινέω	Verb
δύσμορος	Adjective
νωμάω	Verb
συγκόπτω	Verb
συνᾴδω	Verb
ὑποδέω	Verb
αὐτονομία	Noun-F
Κτήσιας	Noun-M
μωρία	Noun-F
Εὐκτήμων	Noun-M
πόλος	Noun-M
φύλαρχος	Noun-M
εὔψυχος	Adjective
δήν	Adverb
ἀπελπίζω	Verb
σκανδαλίζω	Verb
κατανέμω	Verb
διαφορέω	Verb
Ἥβη	Noun-F
σέβας	Noun-N
ἐκπρεπής	Adjective
Ἐπικούρειος	Noun-M
ποτάμιον	Noun-N
ὁρμητήριον	Noun-N
ἐγγύη	Noun-F
Λάμια	Noun-F
πεδινός	Adjective
ἄπυρος	Adjective
οἰνοχοέω	Verb
μεσόω	Verb
ἀμφιβάλλω	Verb
νηλής	Adjective
ἄτεκνος	Adjective
διακαρτερέω	Verb
ἀστερόεις	Adjective
κοίρανος	Noun-M
κατάδηλος	Adjective
ἐναγής	Adjective
φύλοπις	Noun-F
αἰδήμων	Adjective
ὑβριστικός	Adjective
ἐλλόγιμος	Adjective
δήλωσις	Noun-F
καθορμίζω	Verb
ἅδην	Adverb
τρισκαιδέκατος	Adjective
αὐτόφωρος	Adjective
Κάλλιππος	Noun-M
κλόνος	Noun-M
προχοή	Noun-F
κτίστης	Noun-M
ἀριθμητικός	Adjective
λύθρον	Noun-M
ἑπτάκις	Adverb
τεκταίνω	Verb
ὑπώρεια	Noun-F
Ασσουρ	Noun-M
Κτήσιππος	Noun-M
Αψαλωμος	Noun-M
ἄσυλος	Adjective
περιτρέχω	Verb
κραιπνός	Adjective
διαμπερές	Adverb
Πιττακός	Noun-M
ἰσχυρίζομαι	Verb
ψῦξις	Noun-F
πεῖσμα	Noun-N
ἐκστρατεύω	Verb
Κρότων	Noun-M
Ἀπολλώνια	Noun-F
ἐκφοβέω	Verb
μεταπείθω	Verb
ἐξεῖπον	Verb
πόμα	Noun-M
ἐγκλείω	Verb
ἀδοξέω	Verb
ἰσόθεος	Adjective
λαθραῖος	Adjective
πρόσοικος	Adjective
Δευκαλίων	Noun-M
ἀλλογενής	Adjective
προπύλαιος	Adjective
Φιλόξενος	Noun-M
εἴσπλοος	Noun-M
ἀγκάλη	Noun-F
μελαίνω	Verb
Γύλιππος	Noun-M
σκληρύνω	Verb
μονόμαχος	Noun-M
θάμνος	Noun-M
Χερουβιν	Noun-N
κατακαίνω	Verb
τελειότης	Noun-F
πταίρω	Verb
συνόμνυμι	Verb
ἠλίβατος	Adjective
ἔχιδνα	Noun-F
αἴθων	Adjective
πνίγω	Verb
κατατρίβω	Verb
χορτάζω	Verb
φιλομαθής	Adjective
προμήθεια	Noun-F
ἧλος	Noun-M
δῆγμα	Noun-N
πρόσθεσις	Noun-F
τῆλε	Adverb
φονικός	Adjective
ἐλεφάντινος	Adjective
ἐτεός	Adjective
ἕκητι	Adverb
οἰκτιρμός	Noun-M
δολοφονέω	Verb
ζωμός	Noun-M
κουφότης	Noun-F
ἀπαράσκευος	Adjective
κηλέω	Verb
περίσσωμα	Noun-N
Θράσυλλος	Noun-M
βάζω	Verb
κόπρος	Noun-F
εὔελπις	Noun-M
ἀολλής	Adjective
λαοφόρος	Adjective
συντρέφω	Verb
συμβιόω	Verb
ὁμότιμος	Adjective
Κῷος	Noun-M
εὐδαιμονίζω	Verb
ἀκέω	Verb
κύαθος	Noun-M
ἄσβεστος	Adjective
Ουριας	Noun-M
κεφαλαιώδης	Adjective
ἱεράομαι	Verb
ἀηδία	Noun-F
ἀπόδοσις	Noun-F
ἐπιτάφιος	Adjective
διογενής	Adjective
ἀναγωγή	Noun-F
εὐσταθής	Adjective
Ὠρίων	Noun-M
ἔτυμος	Adjective
ἒ	Interjection
παράβασις	Noun-F
φάρυγξ	Noun-F
Ἀντιοχεύς	Adjective
ἀριστοκρατικός	Adjective
ἐπίστασις	Noun-F
τροφεύς	Noun-M
ἐκθλίβω	Verb
θρύπτω	Verb
Ἔσδρας	Noun-M
Λάγος	Noun-M
Θρασύμαχος	Noun-M
Λωτ	Noun-M
καταψύχω	Verb
ἄχυρος	Noun-N
κυπάρισσος	Noun-F
καταλλάσσω	Verb
συνεθίζω	Verb
ἐδώδιμος	Adjective
ἀμφιέννυμι	Verb
ἐγκύκλιος	Adjective
κατασκήπτω	Verb
αἴτησις	Noun-F
διάγνωσις	Noun-F
περιοικέω	Verb
Σαμαρεύς	Noun-M
ἐμπλέκω	Verb
πεντεκαιδέκατος	Adjective
διορύσσω	Verb
κάθετος	Noun-F
Δημάρητος	Noun-M
ἀμηρᾶς	Noun-M
ἀμπελόεις	Adjective
αὖλαξ	Noun-F
ἐπικράτεια	Noun-F
Εὔμαιος	Noun-M
ἀποτρίβω	Verb
μαστεύω	Verb
βραδύτης	Noun-F
εὐήθεια	Noun-F
ἅρπαξ	Noun-M
Κάστωρ	Noun-M
πύκτης	Noun-M
εὐμεγέθης	Adjective
διδασκαλεῖον	Noun-N
εὔκομος	Adjective
Σωκρατικός	Adjective
καταπράσσω	Verb
ἀστράγαλος	Noun-M
θυρωρός	Noun-M
παραθαρσύνω	Verb
ἀβούλητος	Adjective
καθιδρύω	Verb
ἐρέτης	Noun-M
Μιχαια	Noun-M
Δωδώνη	Noun-F
γέτῆς	Noun-M
εὐνοέω	Verb
προπέτεια	Noun-F
βόειος	Adjective
εὔφρων	Adjective
εὐπάθεια	Noun-F
ἐπικηρυκεύομαι	Verb
πάσσαλος	Noun-M
θοῦρος	Noun-M
στεῖρα	Noun-F
ἀνδρώδης	Adjective
Ἀγχίσης	Noun-M
πονηρεύω	Verb
Λάρισα	Noun-F
λώβη	Noun-F
διπλασίων	Adjective
Πελασγικός	Adjective
σαπρός	Adjective
Μάλιχος	Noun-M
μεγαλοφροσύνη	Noun-F
συμμαχίς	Noun-F
ἐπινέμω	Verb
Λύκων	Noun-M
Καμπανὸς	Noun-M
ἄκουσμα	Noun-N
πεντηκοστός	Adjective
Ταίναρος	Noun-N
προσπταίω	Verb
βρότειος	Adjective
Ἄθως	Noun-M
φυή	Noun-F
θερμασία	Noun-F
φιλαργυρία	Noun-F
εὔδηλος	Adjective
κηδεμών	Noun-M
Παλαιστίνη	Noun-F
Ἑκάτη	Noun-F
συμφύω	Verb
Λεωκράτης	Noun-M
προσφορά	Noun-F
διέπω	Verb
ξιφίδιον	Noun-N
πιθανότης	Noun-F
δουπέω	Verb
Νεφθαλι	Noun-M
Πελίης	Noun-M
ἀφοσιόω	Verb
Ασαφ	Noun-M
ἄταφος	Adjective
στεροπή	Noun-F
ἔμπυρος	Adjective
πυκνότης	Noun-F
εὔστοχος	Adverb
δημαρχέω	Verb
ῥᾳθυμέω	Verb
Ενωχ	Noun-M
Ισσαχαρ	Noun-M
πρίσμα	Noun-N
ἀναφεύγω	Verb
Ηλι	Noun-M
τρεισκαίδεκα	Adjective
εὐρυχωρία	Noun-F
πάγιος	Adverb
δεκτός	Adjective
πανηγυρικός	Adjective
Αὖλος	Noun-M
Εὐθύφρων	Noun-M
Τρώιος	Noun-M
Ἀδριανός	Noun-M
Πλούτων	Noun-M
Οχοζιας	Noun-M
Ἀναξανδρίδης	Noun-M
μαλάσσω	Verb
ὀθνεῖος	Adjective
λέμβος	Noun-M
ἐλάτη	Noun-F
εὐπατρίδης	Noun-M
ποθι	Adverb
συνοικειόω	Verb
κορυθαίολος	Adjective
δοιοί	Adjective
ἀποδειλιάω	Verb
Φύλαρχος	Noun-M
Ἱμεραῖος	Noun-M
κολωνός	Noun-M
παρατρέπω	Verb
σιαγών	Noun-F
ἱεροφάντης	Noun-M
Ἱεροβόαμος	Noun-M
ἀνδρόω	Verb
ποδώκης	Adjective
Μαγνησία	Noun-F
ἐπιπολή	Noun-F
ἐπεισέρχομαι	Verb
σκηνόω	Verb
Σώστρατος	Noun-M
ἔμετος	Noun-M
δυσσεβής	Adjective
πρόσρησις	Noun-F
Φιλώτης	Noun-M
Μολοσσός	Noun-M
Τίγρις	Noun-M
κερδαλέος	Adjective
Ἀρέτας	Noun-M
εἰρηνεύω	Verb
ἐπαναιρέω	Verb
πτέρνη	Noun-F
ἐπιδρομή	Noun-F
φράσις	Noun-F
ἐξέχω	Verb
μεταθέω	Verb
εὐθύγραμμος	Noun-F
ἀνύποπτος	Adjective
πιαίνω	Verb
ἀναρίθμητος	Adjective
πρόξενος	Noun-M
Ἰόβης	Noun-M
μετεξέτεροι	Pronoun
δρέπω	Verb
ἀκλεής	Adjective
ἐξεπίτηδες	Adverb
ἔκθυμος	Adverb
Ἐπίδαυρος	Noun-M
οἰκοδόμος	Noun-M
ἐνυβρίζω	Verb
ὑδρεύω	Verb
δάνειον	Noun-N
μέθοδος	Noun-F
ἐκταράσσω	Verb
παραγράφω	Verb
Οζιας	Noun-M
πομπός	Noun-M
διίημι	Verb
ἄγχω	Verb
ξυστός	Noun-N
Βερενίκη	Noun-F
δωρειά	Noun-F
ἐκεχειρία	Noun-F
Εὐκλείδης	Noun-M
γεωμετρικός	Adjective
ἐχθαίρω	Verb
Σεμίραμις	Noun-F
πηλίκος	Adjective
Παναθήναια	Noun-N
αἰγίς	Noun-F
διασκευάζω	Verb
Πυθαγορικός	Noun-M
Ἀγήνωρ	Noun-M
φιλόκαλος	Adjective
ἄρρηκτος	Adjective
Μάλλιος	Noun-M
πέρυσι	Adverb
Ἀχελῷος	Noun-M
σωρεύω	Verb
νημερτής	Adjective
καθολικός	Adjective
Κυθέρεια	Noun-F
ὑποφεύγω	Verb
αἰσθητήριον	Noun-N
Κόρα	Noun-F
μύω	Verb
Ἀνδοκίδης	Noun-M
Ἀργώ	Noun-F
κυέω	Verb
ν	Noun-M
ναυτιλία	Noun-F
Καλλίστρατος	Noun-M
Καπύη	Noun-F
Πειρίθοος	Noun-M
κατάτασις	Noun-F
συνομολογέω	Verb
Προποντίς	Noun-F
διαχειρίζω	Verb
προβολή	Noun-F
ῥυπαρός	Adjective
κατάφασις	Noun-F
ἐπάρχω	Verb
παραπίπτω	Verb
αἰχμαλωτεύω	Verb
ἐπωμίς	Noun-F
ἐκβοάω	Verb
Δανίηλος	Noun-M
ὁρκίζω	Verb
σπάργανον	Noun-N
ὑπερόριος	Adjective
βάπτισμα	Noun-N
διαχωρίζω	Verb
ἀναχέω	Verb
ἆσσον	Adjective
εὐαρεστέω	Verb
Ἐπίδαμνος	Noun-M
τρώγω	Verb
ὕφασμα	Noun-N
μετακινέω	Verb
ἐξανθέω	Verb
πέψις	Noun-F
ὑπερφρονέω	Verb
ἐφέστιος	Adjective
μερισμός	Noun-M
ἀλωή	Noun-F
Μοῖσα	Noun-F
καύχημα	Noun-N
ἀπήμων	Adjective
εὔκρατος	Adjective
ὑπεξαιρέω	Verb
περιάπτω	Verb
Συχεμ	Noun-M
λυσσάω	Verb
κύπελλον	Noun-N
κνῖσα	Noun-F
θυσιάζω	Verb
ἀμιγής	Adjective
πελειάς	Noun-F
θίασος	Noun-M
ἐρατεινός	Adjective
θάλπος	Noun-N
συναλγέω	Verb
κλίτος	Noun-N
λευκώλενος	Adjective
ἀνδρίζω	Verb
ἀκροβόλισις	Noun-M
Κῶς	Noun-F
Λαομέδων	Noun-M
Σαρδανάπαλλος	Noun-M
εὐδία	Noun-F
συγχαίρω	Verb
πείρω	Verb
ἐπάξιος	Adjective
διάληψις	Noun-F
δράγμα	Noun-N
ἱματισμός	Noun-M
Σαμαρείτης	Noun-M
εὔτακτος	Adjective
συναγωνιστής	Noun-M
ἐρέσσω	Verb
εἰσόκε	Adverb
Φᾶσις	Noun-M
Ἀνάχαρσις	Noun-F
ἴαμα	Noun-N
ἀντιτίθημι	Verb
Πριαμίδης	Noun-M
ἐπήρεια	Noun-F
φάσις	Noun-F
κατακοντίζω	Verb
ἀναπτύσσω	Verb
πρεσβεῖον	Noun-N
ἡμίθεος	Noun-M
ἐγκύμων	Adjective
ἄελλα	Noun-F
ἀνάληψις	Noun-F
παρήκω	Verb
ἕδνον	Noun-N
Ἆπις	Noun-M
λίβανος	Noun-M
πρόληψις	Noun-F
ὀκνηρός	Adjective
νομοφύλαξ	Noun-M
κατατιτρώσκω	Verb
συμφορέω	Verb
ἔμπλεος	Adjective
παρελαύνω	Verb
Ἀρσινόη	Noun-F
ἀνανεύω	Verb
ἀποκείρω	Verb
διθύραμβος	Noun-M
πάδος	Noun-F
δαιτυμών	Noun-M
λατρεία	Noun-F
μολύνω	Verb
συγκαλύπτω	Verb
ἰδίωμα	Noun-N
ἔνδυμα	Noun-N
ἀοίδιμος	Adjective
σκώληξ	Noun-M
ἀλιτήριος	Adjective
ἀνακύπτω	Verb
ἀκοίτης	Noun-M
πυρρός	Adjective
ἔρος	Noun-M
παμμεγέθης	Adjective
εἰρηναῖος	Adjective
Φλιάσιος	Noun-M
εἴγε	Conjunction
Ιεβουσαῖος	Noun-M
εἰσαγγελία	Noun-F
χαλεπότης	Noun-F
Πουλυδάμας	Noun-M
ἀποστάτης	Noun-M
σωρός	Noun-M
δορκάς	Noun-F
μονομαχέω	Verb
ἀπαγγελία	Noun-F
ἄκακος	Adjective
ἄμικτος	Adjective
πεῖραρ	Noun-N
θοίνη	Noun-F
Ὄλυνθος	Noun-M
κλύζω	Verb
καινοτομέω	Verb
σαλπιγκτής	Noun-M
τρυβλίον	Noun-N
σκάνδαλον	Noun-N
ὁπηνίκα	Adverb
λογάς	Noun-F
Σεμεϊ	Noun-M
Θήρων	Noun-M
διάταγμα	Noun-N
ἐναγώνιος	Adjective
χαράκωμα	Noun-N
διχή	Adverb
χωριστός	Adjective
δαλός	Noun-M
ἀνταίρω	Verb
σκάπτω	Verb
ἄγραφος	Adjective
Πάμφιλος	Noun-M
καθέδρα	Noun-F
καμπή	Noun-F
Σπόριος	Noun-M
ἀποτάσσω	Verb
ἀλογέω	Verb
ἀνασκευάζω	Verb
αὐχμηρός	Adjective
ἀπαυράω	Verb
Σύλλαῑος	Noun-M
Κέκροψ	Noun-M
ἄμητος	Noun-M
παρεισάγω	Verb
Τροιζήνιος	Noun-M
γύψ	Noun-M
ἕρμα	Noun-N
κίβδηλος	Adjective
ἐυκνήμις	Adjective
ἀκροβυστία	Noun-F
λογιστικός	Adjective
νουθεσία	Noun-F
ἧχι	Adverb
ἀπαλλοτριόω	Verb
ἐπίγειος	Adjective
χειροήθης	Adjective
μετάφρενον	Noun-N
κατακοσμέω	Verb
λωτός	Noun-M
Δημοχάρης	Noun-M
Αβια	Noun-M
κάλυμμα	Noun-N
Κααθ	Noun-M
Βηθλεεμ	Noun-M
κατακρημνίζω	Verb
ἐκπορνεύω	Verb
πάταγος	Noun-M
Σινα	Noun-M
ὄζος	Noun-M
γοητεία	Noun-F
Ἄμφιων	Noun-M
ἄσπονδος	Adjective
σέλινον	Noun-N
ἐναλίγκιος	Adjective
ῥάκος	Noun-N
Μίλων	Noun-M
Βάκχειος	Noun-M
ἀπρόφατος	Adverb
καταφατικός	Adjective
ἔρσα	Noun-F
ἀναφανδά	Adverb
ἀμφιέπω	Verb
Εὐρυμέδων	Noun-M
δημοκρατικός	Adjective
ἐπαναστάσις	Noun-F
παραλογίζομαι	Verb
Σμυρναῖος	Noun-M
διελαύνω	Verb
κακοπραγία	Noun-F
ἐπιτήδευσις	Noun-F
ἐκπορίζω	Verb
Σκάμανδρος	Noun-M
Κυλλήνη	Noun-F
Πρόξενος	Noun-M
Φιλόχορος	Noun-M
Ἰώραμος	Noun-M
ἀπάγχω	Verb
περιελαύνω	Verb
καταπληκτικός	Adjective
ἐπονείδιστος	Adjective
ὠτειλή	Noun-F
ἄναλκις	Noun-F
ἀρρωστέω	Verb
ἀνήκοος	Adjective
ἐκκαθαίρω	Verb
σύννομος	Adjective
καταδυναστεύω	Verb
συγκαταβαίνω	Verb
στρεπτός	Adjective
προύργου	Adjective
περιδεής	Adjective
φρούραρχος	Noun-M
θήγω	Verb
Ἀντίμαχος	Noun-M
ἐπιτειχίζω	Verb
πλάγιον	Noun-N
Πρόδικος	Noun-M
Σαμαια	Noun-M
κατακλάω	Verb
ἀμνηστία	Noun-F
τριηραρχία	Noun-F
ἠθάς	Adjective
ὀλολύζω	Verb
Χαλεβ	Noun-M
παλαιόω	Verb
Βάκτριος	Noun-M
ἀπομνημόνευμα	Noun-N
Γαβαα	Noun-F
ὑστερίζω	Verb
χειρίζω	Verb
εὔρυθμος	Adjective
Δημάδης	Noun-M
Ιεφθαε	Noun-M
διφθέρα	Noun-F
μῆδος	Noun-N
ποδήρης	Adjective
θολερός	Adjective
συμπίνω	Verb
προξενέω	Verb
Βαρναβᾶς	Noun-M
ὄστρεον	Noun-N
ἀνυπέρβλητος	Adjective
ἐφέζομαι	Verb
εἰστρέχω	Verb
ἀσχαλάω	Verb
ψευδοπροφήτης	Noun-M
προσδαίω	Verb
ἐτήτυμος	Adjective
ἡγήτωρ	Noun-M
Ἑρμογένης	Noun-M
μορφόω	Verb
διερός	Adjective
τηλαυγής	Adjective
Ἑλλάνικος	Noun-M
ἀφέλεια	Noun-F
ἀφθαρσία	Noun-F
ἀσπαίρω	Verb
νεφεληγερέτα	Noun-M
ἀτάσθαλος	Adjective
ἐρατός	Adjective
ἀρήν	Noun-M
διεγείρω	Verb
Λεωτυχίδης	Noun-M
ὄψιος	Adjective
διακρούω	Verb
πολύγωνον	Noun-N
κάλως	Noun-M
ἕσπερος	Noun-M
δοῦπος	Noun-M
Λευκάς	Noun-F
Γαβαων	Noun-M
τριταῖος	Adjective
προκάθημαι	Verb
διοδεύω	Verb
ἀνθερεών	Noun-M
δαί	Noun-F
οὐρέω	Verb
στέμμα	Noun-N
στεφάνη	Noun-F
βασσαρίς	Noun-F
Βυζάντιον	Noun-N
ἐπιδικάζω	Verb
παροινέω	Verb
ἀνυπόστατος	Adjective
ἀναλογίζομαι	Verb
Κοίλη	Noun-F
τελαμών	Noun-M
πλακοῦς	Noun-M
συναλλάσσω	Verb
πεντάγωνος	Noun-M
μετόπωρον	Noun-N
Γάλγαλα	Noun-F
θεοπρόπος	Adjective
ἄτρωτος	Adjective
Σαδωκ	Noun-M
Ῥαδάμανθυς	Noun-M
Εσθηρ	Noun-F
ἱκετηρία	Noun-F
βάδην	Adverb
σφάλμα	Noun-N
γρηγορέω	Verb
εὔχρηστος	Adjective
φρικώδης	Adjective
γενικός	Adjective
δήμιος	Adjective
ὄνησις	Noun-F
Λάχης	Noun-M
Πῶλος	Noun-M
συνωθέω	Verb
παίγνιον	Noun-N
παραπικραίνω	Verb
ἰατρεία	Noun-F
καμπύλος	Adjective
Ἄκτιον	Noun-N
εὐμένεια	Noun-F
ἀπόκρυφος	Adjective
ὀργίλος	Adjective
πανσέληνος	Noun-F
στερέωμα	Noun-N
ἴαμβος	Noun-M
συνυφαίνω	Verb
θαλασσοκρατέω	Verb
σκυτότομος	Noun-M
ὄχθος	Noun-M
λᾶας	Noun-M
παροίχομαι	Verb
Ἀρκαδικός	Adjective
Νικαία	Noun-F
λωφάω	Verb
ἤλεκτρον	Noun-N
Αὐλίς	Noun-F
στρουθός	Noun-M
οὐλόμενος	Adjective
μεγαλεῖος	Adjective
δηλέομαι	Verb
Γανυμήδης	Noun-M
ἰοχέαιρα	Noun-F
ἄντομαι	Verb
ἀνδρικός	Adjective
σειρά	Noun-F
ἐνάργεια	Noun-F
Δομίτιος	Noun-M
καταντικρύ	Preposition
Χαρμίδης	Noun-M
παιδοτρίβης	Noun-M
ἡμικύκλιον	Noun-N
καταστέλλω	Verb
τελεσφόρος	Adjective
ἀφύσσω	Verb
ἐμπορεύομαι	Verb
ἀγορανόμος	Noun-M
τετρακισμύριοι	Adjective
Καρμήλιος	Noun-M
φθέγμα	Noun-N
Πήλιον	Noun-N
Σύριος	Noun-M
ὑποτέμνω	Verb
τέλλω	Verb
ἠρεμία	Noun-F
δειπνοποιέω	Verb
ἴχνιον	Noun-N
Κέφαλος	Noun-M
μαρμαίρω	Verb
ὑποσημαίνω	Verb
πρόσοψις	Noun-F
ὀφλέω	Verb
Στησίχορος	Noun-M
οὔριος	Adjective
Λάμψακος	Noun-M
Μεραρι	Noun-M
χρηματιστικός	Adjective
βουκόλιον	Noun-N
πρυτανεύω	Verb
Αμασιας	Noun-M
μαλακίζω	Verb
Μυρτίλος	Noun-M
ἀνορθόω	Verb
ἀπανίστημι	Verb
Φρύνη	Noun-F
ἀντινέω	Verb
στίλβω	Verb
Κύψελος	Noun-M
ἄτολμος	Adjective
βαρέω	Verb
παραίτησις	Noun-F
ἐξόμνυμι	Verb
Πείσανδρος	Noun-M
ὁπλιτικός	Adjective
ἐπιρρίπτω	Verb
ῥῖγος	Noun-N
λῆψις	Noun-F
ἄκοσμος	Adjective
ὄσφρησις	Noun-F
Πυθαγόρειος	Noun-M
ὑποτοπέω	Verb
ἰσημερία	Noun-F
κληδών	Noun-F
ἀποπληρόω	Verb
ὁμόλογος	Adjective
ἀδιάλειπτος	Adverb
καταρράκτης	Noun-M
κουρίδιος	Adjective
Μάξιμος	Noun-M
κλέω	Verb
μερμηρίζω	Verb
τίλλω	Verb
Ἰωνᾶς	Noun-M
δίπους	Adjective
κυρία	Noun-F
ὀδυρμός	Noun-M
τρίαινα	Noun-F
Μάγνος	Noun-M
ἀμερής	Adjective
πετραῖος	Noun-M
ἀναισθησία	Noun-F
πολύχρυσος	Adjective
Ἀσπασία	Noun-F
Στύξ	Noun-F
εὐδοκία	Noun-F
κλητός	Adjective
γαζοφυλάκιον	Noun-N
ὄνειαρ	Noun-N
ἄγρυπνος	Adjective
σκύφος	Noun-M
ἔκπλοος	Noun-M
ἐπικαλύπτω	Verb
συναγορεύω	Verb
ἀπερείδω	Verb
ἐκφορέω	Verb
προήκω	Verb
τράγημα	Noun-N
Φώκιος	Noun-M
διόμνυμι	Verb
παραρρέω	Verb
συνεύχομαι	Verb
Δερκυλίδας	Noun-M
πύματος	Adjective
χόνδρος	Noun-M
ἀναθρῴσκω	Verb
ἀλέξω	Verb
ναύσταθμον	Noun-M
προδηλόω	Verb
ἐξαπίναιος	Adverb
ἑκηβόλος	Adjective
ἶρις	Noun-F
Νῦσα	Noun-F
πυκάζω	Verb
κυκάω	Verb
